group,subject,session,task,row_index_0,kept_row,state,basin,sn_file,bn_file
HC,FC001,1,extinction,135,136,14,2,sub-FC001_ses-1_task-extinction_fearROIs_bin_SN.csv,sub-FC001_ses-1_task-extinction_fearROIs_bin_BN.csv
HC,FC001,1,extinction,136,137,16,4,sub-FC001_ses-1_task-extinction_fearROIs_bin_SN.csv,sub-FC001_ses-1_task-extinction_fearROIs_bin_BN.csv
HC,FC001,1,extinction,137,138,19,3,sub-FC001_ses-1_task-extinction_fearROIs_bin_SN.csv,sub-FC001_ses-1_task-extinction_fearROIs_bin_BN.csv
HC,FC001,1,extinction,138,139,20,3,sub-FC001_ses-1_task-extinction_fearROIs_bin_SN.csv,sub-FC001_ses-1_task-extinction_fearROIs_bin_BN.csv
HC,FC001,1,extinction,139,140,31,4,sub-FC001_ses-1_task-extinction_fearROIs_bin_SN.csv,sub-FC001_ses-1_task-extinction_fearROIs_bin_BN.csv
HC,FC001,1,extinction,140,141,13,2,sub-FC001_ses-1_task-extinction_fearROIs_bin_SN.csv,sub-FC001_ses-1_task-extinction_fearROIs_bin_BN.csv
HC,FC001,1,extinction,141,142,13,2,sub-FC001_ses-1_task-extinction_fearROIs_bin_SN.csv,sub-FC001_ses-1_task-extinction_fearROIs_bin_BN.csv
HC,FC001,1,extinction,142,143,1,1,sub-FC001_ses-1_task-extinction_fearROIs_bin_SN.csv,sub-FC001_ses-1_task-extinction_fearROIs_bin_BN.csv
HC,FC001,1,extinction,143,144,2,1,sub-FC001_ses-1_task-extinction_fearROIs_bin_SN.csv,sub-FC001_ses-1_task-extinction_fearROIs_bin_BN.csv
HC,FC001,1,extinction,144,145,2,1,sub-FC001_ses-1_task-extinction_fearROIs_bin_SN.csv,sub-FC001_ses-1_task-extinction_fearROIs_bin_BN.csv
HC,FC001,1,extinction,145,146,30,4,sub-FC001_ses-1_task-extinction_fearROIs_bin_SN.csv,sub-FC001_ses-1_task-extinction_fearROIs_bin_BN.csv
HC,FC001,1,extinction,146,147,25,2,sub-FC001_ses-1_task-extinction_fearROIs_bin_SN.csv,sub-FC001_ses-1_task-extinction_fearROIs_bin_BN.csv
HC,FC001,1,extinction,147,148,25,2,sub-FC001_ses-1_task-extinction_fearROIs_bin_SN.csv,sub-FC001_ses-1_task-extinction_fearROIs_bin_BN.csv
HC,FC001,1,extinction,148,149,5,1,sub-FC001_ses-1_task-extinction_fearROIs_bin_SN.csv,sub-FC001_ses-1_task-extinction_fearROIs_bin_BN.csv
HC,FC001,1,extinction,149,150,7,1,sub-FC001_ses-1_task-extinction_fearROIs_bin_SN.csv,sub-FC001_ses-1_task-extinction_fearROIs_bin_BN.csv
HC,FC001,1,extinction,150,151,6,1,sub-FC001_ses-1_task-extinction_fearROIs_bin_SN.csv,sub-FC001_ses-1_task-extinction_fearROIs_bin_BN.csv
HC,FC001,1,extinction,151,152,2,1,sub-FC001_ses-1_task-extinction_fearROIs_bin_SN.csv,sub-FC001_ses-1_task-extinction_fearROIs_bin_BN.csv
HC,FC001,1,extinction,152,153,6,1,sub-FC001_ses-1_task-extinction_fearROIs_bin_SN.csv,sub-FC001_ses-1_task-extinction_fearROIs_bin_BN.csv
HC,FC001,1,extinction,153,154,31,4,sub-FC001_ses-1_task-extinction_fearROIs_bin_SN.csv,sub-FC001_ses-1_task-extinction_fearROIs_bin_BN.csv
HC,FC001,1,extinction,154,155,31,4,sub-FC001_ses-1_task-extinction_fearROIs_bin_SN.csv,sub-FC001_ses-1_task-extinction_fearROIs_bin_BN.csv
HC,FC001,1,extinction,155,156,5,1,sub-FC001_ses-1_task-extinction_fearROIs_bin_SN.csv,sub-FC001_ses-1_task-extinction_fearROIs_bin_BN.csv
HC,FC001,1,extinction,156,157,7,1,sub-FC001_ses-1_task-extinction_fearROIs_bin_SN.csv,sub-FC001_ses-1_task-extinction_fearROIs_bin_BN.csv
HC,FC001,1,extinction,157,158,31,4,sub-FC001_ses-1_task-extinction_fearROIs_bin_SN.csv,sub-FC001_ses-1_task-extinction_fearROIs_bin_BN.csv
